 n  |     dt     | op |              title               | year | sn | no | rt  | _ | cs | $  | ttm |          theatre_name          | dur | day |                           showtimes                           
----+------------+----+----------------------------------+------+----+----+-----+---+----+----+-----+--------------------------------+-----+-----+---------------------------------------------------------------
  1 | 2018-06-13 | 17 | Hotel Artemis                    |      |    |    |     |   | C- |  0 |  16 | Bow Tie Cinemas SONO Regent 8  |  93 |     | {12:40,15:05,17:20,19:40,22:05}
  2 | 2018-06-13 | 17 | Superfly                         |      |    |    |     |   |    |  0 |  16 | Bow Tie Cinemas SONO Regent 8  |     |     | {14:00,16:30,19:05,21:45}
  3 | 2018-06-13 | 15 | Dream Big: Engineering Our World | 2017 |    |    | 100 | o |    | 25 |  24 | IMAX Maritime Aquarium Norwalk |  40 |     | {11:00}
  4 | 2018-06-13 | 15 | RBG                              |      |    |    |  94 | O |    | 18 |  90 | Avon Theatre Film Center, Inc. |  97 |  40 | {17:00,19:20}
  5 | 2018-06-13 | 13 | Life of the Party                |      |    |    |  38 | * | B  |  6 |  70 | Bow Tie Cinemas Landmark 9     |     |  33 | {13:50,16:30,19:20,21:55}
  6 | 2018-06-13 | 12 | Book Club                        |      |    |    |     |   | A- |  6 |  48 | Darien Playhouse               |     |     | {19:00}
  7 | 2018-06-13 | 12 | The Seagull                      |      |    |    |     |   |    |  6 |  70 | Bow Tie Cinemas Landmark 9     |  98 |     | {14:10,16:40,19:10,21:40}
  8 | 2018-06-13 | 10 | On Chesil Beach                  |      |    |    |     |   |    | 28 |  12 | Garden Cinemas Norwalk         | 110 |     | {18:50}
  9 | 2018-06-13 | 10 | Incredibles 2                    |      |    |    |     |   |    | 16 | 120 | AMC Loews Port Chester 14      |     |     | {}
 10 | 2018-06-13 | 10 | Jurassic World: Fallen Kingdom   |      |    |    |     |   |    | 16 | 120 | AMC Loews Port Chester 14      |     |     | {}
 11 | 2018-06-13 | 10 | Tag                              |      |    |    |     |   |    | 16 | 120 | AMC Loews Port Chester 14      |     |     | {}
 12 | 2018-06-13 |  9 | American Animals                 |      |    |    |     |   |    | 31 | 200 | AMC Empire 25                  | 116 |     | {10:00,11:40,14:40,16:20,19:30,21:40}
 13 | 2018-06-13 |  9 | Believer                         |      |    |    |     |   |    | 31 | 200 | AMC Empire 25                  | 123 |     | {10:40,13:40,16:40,19:40,22:40}
 14 | 2018-06-13 |  9 | How Long Will I Love U           |      |    |    |     |   |    | 31 | 200 | AMC Empire 25                  | 101 |     | {14:50,17:30,20:10,22:50}
 15 | 2018-06-13 |  9 | Raazi                            |      |    |    |     |   |    | 31 | 200 | AMC Empire 25                  | 138 |     | {13:30,23:00}
 16 | 2018-06-13 |  9 | Won't You Be My Neighbor?        |      |    |    |     |   |    | 31 | 210 | AMC Loews Lincoln Square 13    |  94 |     | {11:00,12:00,13:20,14:20,15:45,16:45,18:00,19:15,20:15,22:30}
 17 | 2018-06-13 |  9 | A Kid Like Jake                  |      |    |    |     |   |    | 31 | 240 | IFC Center                     |  92 |     | {13:25,15:25,19:35}
 18 | 2018-06-13 |  8 | Breaking In                      |      |    |    |  25 | * | B  | 31 | 200 | AMC Empire 25                  |     |  33 | {11:00,13:30,16:00,18:30,21:00}
 19 | 2018-06-13 |  4 | Hereditary                       |      |  1 |    |     |   | D+ | 13 |  16 | Bow Tie Cinemas SONO Regent 8  |     |     | {13:20,16:10,19:10,22:00}
 20 | 2018-06-13 |  4 | First Reformed                   |      |  1 |    |     |   |    | 18 |  90 | Avon Theatre Film Center, Inc. | 108 |     | {16:40,19:05}
 21 | 2018-06-13 |  1 | Deadpool 2                       |      |  1 |    |     |   | A  | 13 |  16 | Bow Tie Cinemas SONO Regent 8  |     |     | {13:40,16:40,19:20,22:10}
 22 | 2018-06-13 |  1 | Ocean's 8                        |      |  1 |    |     |   | B+ | 13 |  16 | Bow Tie Cinemas SONO Regent 8  |     |     | {13:50,16:20,19:00,21:40}
 23 | 2018-06-13 |  1 | Solo: A Star Wars Story          |      |  1 |    |     |   | A- | 13 |  16 | Bow Tie Cinemas SONO Regent 8  |     |     | {12:50,15:50,18:50,21:50}
 24 | 2018-06-13 |  1 | Upgrade                          |      |  1 |    |     |   |    | 13 |  16 | Bow Tie Cinemas SONO Regent 8  |  95 |     | {13:00,15:20,17:40,20:00,22:15}
 25 | 2018-06-13 |  1 | Adrift                           |      |  1 |    |     |   | B  | 16 |  64 | Bow Tie Cinemas Majestic 6     |     |     | {13:45,16:30,19:15,22:00}
 26 | 2018-06-13 |  1 | Action Point                     |      |  1 |    |     |   | C+ | 29 | 120 | AMC Loews Port Chester 14      |     |     | {13:20}
 27 | 2018-06-13 |  1 | A Quiet Place                    |      |  2 |    |  95 | O | B+ | 51 | 200 | AMC Empire 25                  |  90 |  68 | {10:45,13:15,15:45,18:15,21:00}
 28 | 2018-06-13 |  1 | Avengers: Infinity War           |      |  3 |    |  83 | O | A  | 13 |  16 | Bow Tie Cinemas SONO Regent 8  | 149 |  47 | {14:50,18:10,21:30}
 29 | 2018-06-13 | 15 | Pandas                           |      |    | t  | 100 | o |    | 25 |  24 | IMAX Maritime Aquarium Norwalk |  40 |  68 | {12:00,14:00,16:00}
 30 | 2018-06-13 | 11 | Backyard Wilderness              |      |    | t  |     |   |    | 25 |  24 | IMAX Maritime Aquarium Norwalk |  42 |     | {13:00,15:00}
 31 | 2018-06-13 |  1 | Overboard                        |      |  1 | t  |  28 | * | A- | 16 | 120 | AMC Loews Port Chester 14      | 112 |  40 | {13:20,16:10,18:50,22:15}
(31 rows)

