  n  |                  title                   | year | rt  | _ | rt_is_matched | t  |                                           gantt_days                                            
-----+------------------------------------------+------+-----+---+---------------+----+-------------------------------------------------------------------------------------------------
   1 | Mission: Impossible - Fallout            | 2018 |  97 | O | t             | 14 | -1
   2 | Teen Titans Go! To the Movies            | 2018 |  95 | o | t             |  8 | -1
   3 | Dracula A.D. 1972                        |      |  25 | * | t             |    | -1
   4 | Cobra                                    |      |  17 | * | t             |    | -1
   5 | Cobra                                    |      |     |   | t             |    | -1
   6 | Cobra                                    |      |     |   | t             |    | -1
   7 | Cobra                                    |      |     |   | t             |    | -1
   8 | DISNEY’S NEWSIES: THE BROADWAY MUSICAL!  | 2018 |     |   | f             |  6 | -1
   9 | Nighthawks                               | 1980 |     |   | f             |    | -1
  10 | The Satanic Rites of Dracula             |      |     |   | t             |    | -1
  11 | Wanda                                    | 1971 |  94 | o | t             |    | -10
  12 | Despicable Me 3                          | 2017 |  59 | * | t             |    | -10
  13 | MAQUIA: WHEN THE PROMISED FLOWER BLOOMS  | 2018 | 100 | o | t             |  2 | -1-----5
  14 | Love & Bananas                           |      |  92 | o | t             |    | -1-----5
  15 | Pin Cushion                              | 2018 |  87 | o | t             |    | -1-----5
  16 | The Third Murder                         |      |  87 | O | t             |    | -1-----5
  17 | Far From the Tree                        | 2018 |  82 | o | t             |    | -1-----5
  18 | Dhadak                                   | 2018 |  67 | o | t             |  3 | -1-----5
  19 | Generation Wealth                        |      |  50 | * | t             |    | -1-----5
  20 | Occupation                               | 2018 |  36 | * | t             |    | -1-----5
  21 | Teefa in Trouble                         | 2018 |     |   | t             |    | -1-----5
  22 | McQueen                                  | 2018 | 100 | O | t             |    | -1------6
  23 | Blindspotting                            | 2018 |  91 | O | t             |  5 | -1------6
  24 | Mamma Mia! Here We Go Again              | 2018 |  79 | O | t             | 13 | -1------6
  25 | Unfriended: Dark Web                     | 2018 |  59 | * | t             |  7 | -1------6
  26 | The Equalizer 2                          | 2018 |  50 | * | t             | 10 | -1------6
  27 | Dark Money                               | 2018 |  88 | o | t             |    | -1------------12
  28 | Love, Cecil                              | 2018 |  82 | o | t             |    | -1------------12
  29 | Sundance Shorts Program                  |      |     |   | t             |    | -1------------12
  30 | Eighth Grade                             | 2018 |  98 | O | t             |  6 | -1-------------13
  31 | Don't Worry, He Won't Get Far on Foot    | 2018 |  77 | O | t             |  5 | -1-------------13
  32 | Hotel Transylvania 3: Summer Vacation    | 2018 |  61 | o | t             | 12 | -1-------------13
  33 | Skyscraper                               | 2018 |  49 | * | t             | 11 | -1-------------13
  34 | Yellow Submarine                         | 2012 |  96 | O | t             |  2 | -1--------------14
  35 | Gauguin: Voyage to Tahiti                | 2018 |  37 | * | t             |  2 | -1--------------14
  36 | The King                                 | 2018 |  83 | o | t             |    | -1------------------18
  37 | Under the Tree                           | 2018 |  86 | o | t             |    | -1-------------------19
  38 | Sorry to Bother You                      | 2018 |  95 | O | t             | 10 | -1--------------------20
  39 | Whitney                                  | 2018 |  89 | O | t             |  8 | -1--------------------20
  40 | Ant-Man and the Wasp                     | 2018 |  87 | O | t             | 14 | -1--------------------20
  41 | The First Purge                          | 2018 |  53 | * | t             |  8 | -1----------------------22
  42 | Great White Shark                        | 2013 |     |   | t             |    | -1-------------------------25
  43 | The Cakemaker                            | 2018 | 100 | o | t             |    | -1--------------------------26
  44 | Sanju                                    | 2018 |  50 | * | t             |  4 | -1--------------------------26
  45 | Leave No Trace                           | 2018 | 100 | O | t             |  8 | -1---------------------------27
  46 | Three Identical Strangers                | 2018 |  96 | O | t             |  9 | -1---------------------------27
  47 | Uncle Drew                               | 2018 |  65 | o | t             |  8 | -1---------------------------27
  48 | Sicario: Day of the Soldado              | 2018 |  64 | o | t             | 10 | -1---------------------------27
  49 | Jurassic World: Fallen Kingdom           | 2018 |  51 | * | t             | 15 | -1----------------------------------34
  50 | Incredibles 2                            | 2018 |  93 | O | t             | 14 | -1-----------------------------------------41
  51 | Hereditary                               | 2018 |  89 | O | t             | 10 | -1------------------------------------------------48
  52 | Ocean's 8                                | 2018 |  67 | o | t             | 13 | -1------------------------------------------------48
  53 | American Animals                         | 2018 |  85 | O | t             |  6 | -1-------------------------------------------------------55
  54 | First Reformed                           | 2018 |  94 | O | t             |  8 | -1---------------------------------------------------------------------68
  55 | RBG                                      | 2018 |  94 | O | t             |  8 | -1----------------------------------------------------------------------------------81
  56 | Pandas                                   | 2018 | 100 | o | t             |    | -1------------------------------------------------------------------------------------------89
  57 | Avengers: Infinity War                   | 2018 |  83 | O | t             | 12 | -1------------------------------------------------------------------------------------------89
  58 | Backyard Wilderness                      |      |     |   | t             |    | -1------------------------------------------------------------------------------------------89
  59 | Won't You Be My Neighbor?                | 2018 |  99 | O | t             | 10 | -1------------------------------------------------- 50
  60 | Custody                                  | 2018 |  94 | O | t             |    | -1--------------------- ----26
  61 | The Catcher Was A Spy                    | 2018 |  31 | * | t             |  2 | -1--------------------- -----------33
  62 | The Death of Stalin                      | 2018 |  96 | O | t             |  7 | -1--------------------- -------------------  ----------- -----------------------------------89
  63 | What Will People Say                     |      |  81 | o | t             |    | -1-------------                          39
  64 | Beatles' Yellow Submarine - 50th Anniver | 2018 |  96 | O | t             |    | -1------ -  -11
  65 | On Chesil Beach                          | 2018 |  69 | o | t             |  6 | -1------                            -----------------------------------68
  66 | The Living Idol                          | 1957 |     |   | t             |    | -1---  5
  67 | Milford Graves Full Mantis               |      |  92 | o | t             |    | -1-- -- -----11
  68 | Damsel                                   | 2018 |  75 | O | t             |  2 | -1-  ------------------ -----------33
  69 | Crescendo                                | 1970 |     |   | t             |    | -1   3
  70 | The Living Sea                           | 1995 |     |   | t             |    | -1                                                      -              -                   89
  71 | Invasion of the Body Snatchers           | 1956 |  98 | O | t             |    |   0
  72 | The Blood of a Poet                      | 1930 |  94 | o | t             |    |   0
  73 | Lust for a Vampire                       |      |     |   | f             |    |   0
